White,WhiteElo,Black,BlackElo,Result
POLAT_ALEMDOR,1202,humillacholos3000,1562,White
Bobmel,1683,King_James05,1500,White
slaviclev,1976,AnalyticalMindR,2092,Black
MalekAdawi,884,Dijabolik,1989,Black
pooriabf,1670,CaoMinhKhoi,1384,White
mms1970s,1872,Asadbek2010,897,Black
Anita-Max-Wynn,1457,ChessPlayerUkraine05,1863,White
nedyalko1,1772,adwaidmj,1861,White
Realdish,1803,ifk00000,1664,Black
JHUZIN,1527,zeratul93,1022,White
tucano11,1518,Raj008vardhan,1473,Black
rossofiorentino98,1177,DracoX,1500,Black
blackram06,1326,Hikolay,925,White
alexandrij_shell05,1900,Yuri_Kuzmin,1634,Black
ktsarnakliyski,1069,zipirc4n0,2295,Black
Mparsa123,1761,Branni_04,1589,Black
AhmedFathy33220055,1952,Baizakov454868,1804,White
Ali_naim2020,1505,haxmatist7373,1500,Black
sjdworld,1500,AlejandraSonidera,1284,White
waldo35,940,FeRuMeNoK,1071,Black
lapsed,600,LoginovVladislav,1907,Black
rrudolfkraft,1500,RUSLANZUBKO,1817,Black
ILove2Mate,1631,aminsef,1769,White
ifchan,979,kawon01,1156,Black
SSSF,1500,TheEnemiez,2170,Black
ahmedabed32,1760,ckkutik,2263,Black
SBK70,1054,Yuri_Kuzmin,1634,White
Saliheey,1039,Kwisatz1Haderach,1412,Black
CHEVALIER-TAO,596,FandeMagnus,1964,Black
Ahmedfakher0,1500,itsmefr,1500,Black
can33-33,2159,eduardito48,1226,Black
DenisKoLeo,1500,roninisc,1872,White
SIRJHUNCRIS555,2040,RollaStogie,1723,White
Enfermito127,2183,Shorin_Petr_66,1761,White
poly-gon,1951,jerreljr,1500,Black
Khaledidrees,1683,BlakAlex,1526,White
streploz,2060,tomazselinsek,900,White
mbva1361,1947,ke3o,2148,Black
asumanco,1500,Turan19,1903,White
asumanco,1500,zxcursed_lens,1256,Draw
crown85,1451,AOC335,1688,White
Ubaustino,1505,ZaichikovN,1500,Black
Mikele44,2256,stasyan75,1834,Black
hunadipu,1722,IvanBataev,1772,White
boriskobis1,1444,Buacabakim05,1026,Black
orangelady,2600,IvanBataev,1772,White
ERIKMANDRAX,1507,JGabiSouza,1245,White
Makarov_Nikoly,1493,ab0baa,1444,Black
incognito-mister,2092,klepac12tin,1317,White
Ru2024,2389,DaxtanRP,1562,Black
kyuzhe,1500,Msueng,1242,White
michelFrance,1847,BRSOTB,1147,Black
serggas,1663,AhmedElbialy972,2169,Black
Ahmedfakher0,1500,eduardito48,818,Black
xxcorvixx,1500,pinkipaanther1,2184,Black
michelFrance,1847,Luisangellugo1356,1912,Black
kaankerem,1341,neversober,939,White
Payam_Salar,1409,theblueberryguy,1500,White
Makarov_Nikoly,1493,Hikolay,925,Black
avnicetiner,722,hamerasad,1500,Black
DE-Berserk,1934,Hamada2411,1100,Black
dvjdjvu,1235,Shkhlapeta_33,1294,White
dfgl,1714,PrideSubsist,2010,Black
Ivan_Mantorov,984,Marc-Evans_751,1500,White
szapolyka,1500,Azadikise,2082,White
Boroska1981,2098,lojjinn,1329,White
nairnihar,1282,NEMEZMAKREsss,1391,Black
Seyaruk,1878,athibanrr,872,Black
ary4nsingh,1309,barba52,1944,Black
rilana76,1907,anandiyadav,1081,Black
M_Wizon,1432,Shahtulan,1438,White
yash81,1805,wu0206,1729,Black
joolww,1697,Asurraa,2408,Black
CoroNestorA,1654,EHoTuKkk,1774,Black
alefreuter,1500,bullet6767,1500,Black
Arinckasti,2150,Alojzy_Trabka,1904,White
VladGlavinskii,1669,NCS_20,1900,White
timashi,1500,tomer25561,1027,Black
Arinckasti,2150,Ramkeerthan_Menon,872,White
alexandrij_shell05,1900,fachero,1500,Black
anubhav1019,1984,SethosOneAndOnly,1700,Black
David6750,1203,Saleh1479,1370,Black
volcania17,1981,MahlalelaKT,1144,White
BigMoney_Schacharena,1022,AidenBijesh,1006,Black
Ljenkins0331,1747,alirezaparniaa,1678,White
Ryan_GGG,1315,MohamedSamirl,1898,White
JUNIORPAULISTA1890,793,akvksk,1739,Black
oubx,1500,poffarbacco,2137,White
Boris52,1937,lovac1963,1696,Black
avnicetiner,722,RGB6,2194,White
Rascar667Capac,1375,GAhmed_musaffara,1658,Black
msalnave2,1700,mirakuru1,1689,White
Meura,2207,SpeedyPawns,2450,Black
Alexandre0910,972,ICopyYourMoves,2016,Black
jabir85,1953,michelFrance,1847,Black
noah101706,1913,CoroNestorA,1654,White
Norm53,2391,zaramanzoori,1088,White
JUNIORPAULISTA1890,793,annie54F,1486,White
Turkey125,1446,abdelrhmankamel84,2011,Black
shwet5855,981,izqiyan,1562,Black
Opayabed,1397,ajaydefgn,1500,White
CanCrane,1771,gfjhgfjhgjfhgjfhgjfg,1366,White
kaumil2001,2169,ke3o,2148,Black
RUTHLESS_teja,1756,annie54F,1486,Black
chenyueyue1225,2433,mobhrajdip,1762,White
sunfire659,1149,rahulkhare_07,1197,Black
karara,1512,Gyrah,1793,Black
Gyrah,1793,karara,1512,White
Ost4p_B3nd3r,2433,umec,1745,White
Korbendallas1,884,Player0712,2222,Black
Mladen64,1922,Spriteperm,1865,White
chkamran,1707,Ali3399,1494,Black
